problem,form,note,tactic,result,apply_ms,solve_ms,total_ms,workers
sum_bwd,recfun,"backward synthesis, K=140",lia2pb,tactic_err,0.07,0.0,0.07,20
sum_bwd,recfun,"backward synthesis, K=140",psat,sat,348.08,14354.2,14702.28,20
sum_bwd,recfun,"backward synthesis, K=140",sat-preprocess,sat,419.98,14452.35,14872.33,20
sum_bwd,recfun,"backward synthesis, K=140",sat,sat,422.21,15088.46,15510.67,20
sum_bwd,recfun,"backward synthesis, K=140",unit-subsume-simplify,sat,27.58,13770.33,13797.9,20
sum_bwd,recfun,"backward synthesis, K=140",degree-shift,sat,0.05,12860.53,12860.58,20
sum_bwd,recfun,"backward synthesis, K=140",eq2bv,sat,0.04,12873.62,12873.66,20
sum_bwd,recfun,"backward synthesis, K=140",factor,sat,0.06,12907.23,12907.29,20
sum_bwd,recfun,"backward synthesis, K=140",aig,sat,0.07,14794.92,14794.99,20
sum_bwd,recfun,"backward synthesis, K=140",fm,sat,0.04,13424.44,13424.48,20
sum_bwd,recfun,"backward synthesis, K=140",fix-dl-var,sat,0.04,13672.66,13672.7,20
sum_bwd,recfun,"backward synthesis, K=140",card2bv,sat,0.04,14317.69,14317.72,20
sum_bwd,recfun,"backward synthesis, K=140",lia2card,sat,0.04,14197.11,14197.16,20
sum_bwd,recfun,"backward synthesis, K=140",purify-arith,sat,0.12,14067.9,14068.02,20
sum_bwd,recfun,"backward synthesis, K=140",normalize-bounds,sat,0.6,14835.8,14836.41,20
sum_bwd,recfun,"backward synthesis, K=140",propagate-ineqs,sat,0.41,14841.89,14842.3,20
sum_bwd,recfun,"backward synthesis, K=140",recover-01,sat,0.05,14354.4,14354.45,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",propagate-values,sat,0.17,17245.76,17245.93,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",(none),sat,0.0,17206.37,17206.37,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",macro-finder,sat,1.74,17228.73,17230.47,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",elim-term-ite,sat,0.13,17242.5,17242.64,20
