problem,form,note,tactic,result,apply_ms,solve_ms,total_ms
wrap_double,recfun,"non-recursive, dbl() as RecFunction",nnf,sat,0.05,0.09,0.14
wrap_double,recfun,"non-recursive, dbl() as RecFunction",occf,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",pb-preprocess,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",propagate-values2,sat,0.04,0.35,0.39
wrap_double,recfun,"non-recursive, dbl() as RecFunction",propagate-values,sat,0.03,0.35,0.38
wrap_double,recfun,"non-recursive, dbl() as RecFunction",reduce-args,sat,0.02,0.11,0.13
wrap_double,recfun,"non-recursive, dbl() as RecFunction",reduce-args2,sat,0.03,0.11,0.14
wrap_double,recfun,"non-recursive, dbl() as RecFunction",simplify,sat,0.02,0.1,0.12
wrap_double,recfun,"non-recursive, dbl() as RecFunction",elim-and,sat,0.02,0.1,0.12
wrap_double,recfun,"non-recursive, dbl() as RecFunction",solve-eqs,sat,0.07,0.02,0.09
wrap_double,recfun,"non-recursive, dbl() as RecFunction",special-relations,sat,0.05,0.11,0.16
wrap_double,recfun,"non-recursive, dbl() as RecFunction",split-clause,tactic_err,0.03,0.0,0.03
wrap_double,recfun,"non-recursive, dbl() as RecFunction",symmetry-reduce,sat,0.02,0.1,0.12
wrap_double,recfun,"non-recursive, dbl() as RecFunction",tseitin-cnf,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",tseitin-cnf-core,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qffd,sat,0.21,0.02,0.23
wrap_double,recfun,"non-recursive, dbl() as RecFunction",pqffd,sat,4.11,0.03,4.14
wrap_double,recfun,"non-recursive, dbl() as RecFunction",smtfd,tactic_to,1503.57,0.0,1503.57
wrap_double,recfun,"non-recursive, dbl() as RecFunction",fpa2bv,sat,0.03,0.22,0.25
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qffp,sat,0.24,0.02,0.26
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qffpbv,sat,0.16,0.02,0.18
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qffplra,sat,0.15,0.02,0.17
wrap_double,recfun,"non-recursive, dbl() as RecFunction",default,sat,0.09,0.02,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",euf-completion,sat,0.14,0.04,0.18
wrap_double,recfun,"non-recursive, dbl() as RecFunction",solver-subsumption,sat,0.71,0.44,1.15
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfbv-sls,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",sls-smt,sat,0.05,0.02,0.07
wrap_double,recfun,"non-recursive, dbl() as RecFunction",nra,sat,0.21,0.02,0.23
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfaufbv,sat,0.07,0.04,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfauflia,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfbv,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfidl,sat,0.07,0.02,0.09
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qflia,sat,0.11,0.02,0.13
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qflra,sat,0.19,0.02,0.21
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfnia,sat,0.08,0.02,0.1
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfnra,sat,0.4,0.02,0.42
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfuf,sat,0.05,0.02,0.07
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfufbv,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",qfufbv_ackr,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",ufnia,sat,0.14,0.02,0.16
wrap_double,recfun,"non-recursive, dbl() as RecFunction",uflra,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",auflia,sat,0.14,0.02,0.16
wrap_double,recfun,"non-recursive, dbl() as RecFunction",auflira,sat,0.05,0.02,0.07
wrap_double,recfun,"non-recursive, dbl() as RecFunction",aufnira,sat,0.05,0.02,0.07
wrap_double,recfun,"non-recursive, dbl() as RecFunction",lra,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",lia,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",lira,sat,0.05,0.02,0.07
wrap_double,recfun,"non-recursive, dbl() as RecFunction",smt,sat,0.18,0.02,0.2
wrap_double,recfun,"non-recursive, dbl() as RecFunction",skip,sat,0.02,0.1,0.12
wrap_double,recfun,"non-recursive, dbl() as RecFunction",fail,tactic_err,0.03,0.0,0.03
wrap_double,recfun,"non-recursive, dbl() as RecFunction",fail-if-undecided,tactic_err,0.02,0.0,0.02
wrap_double,recfun,"non-recursive, dbl() as RecFunction",macro-finder,sat,0.03,0.1,0.13
wrap_double,recfun,"non-recursive, dbl() as RecFunction",quasi-macros,sat,0.03,0.11,0.14
wrap_double,recfun,"non-recursive, dbl() as RecFunction",ufbv-rewriter,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",bv,sat,0.07,0.02,0.09
wrap_double,recfun,"non-recursive, dbl() as RecFunction",ufbv,sat,0.07,0.02,0.09
