task,scale,encoding,theories,combo,combo_len,result,ok,tactic_ms,solve_ms,total_ms,rlimit
dispatch,50,func,uf+int,simplify[blast_select_store=True]>propagate-values,2,sat,True,0.02,0.38,0.4,3430
dispatch,50,func,uf+int,simplify[blast_select_store=True]>solve-eqs,2,sat,True,0.04,0.38,0.42,3511
dispatch,50,func,uf+int,simplify[blast_select_store=True]>elim-term-ite,2,sat,True,0.02,0.38,0.4,3535
dispatch,50,func,uf+int,simplify[blast_select_store=True]>propagate-ineqs,2,sat,True,0.07,0.38,0.45,3722
dispatch,50,func,uf+int,simplify[blast_select_store=True]>ctx-simplify,2,sat,True,0.04,0.39,0.43,3641
dispatch,50,func,uf+int,simplify[blast_select_store=True]>simplify[blast_select_store=True],2,sat,True,0.04,0.39,0.43,3535
dispatch,50,set,set+tuple,(none),0,sat,True,0.0,5.84,5.84,32539
dispatch,50,set,set+tuple,simplify,1,sat,True,0.02,3.36,3.38,17944
dispatch,50,set,set+tuple,propagate-values,1,sat,True,0.04,4.61,4.65,24688
dispatch,50,set,set+tuple,solve-eqs,1,sat,True,0.06,4.21,4.27,26684
dispatch,50,set,set+tuple,elim-term-ite,1,sat,True,0.01,4.9,4.91,29858
dispatch,50,set,set+tuple,propagate-ineqs,1,sat,True,0.03,4.62,4.65,27161
dispatch,50,set,set+tuple,ctx-simplify,1,sat,True,0.03,3.38,3.41,19189
dispatch,50,set,set+tuple,simplify[blast_select_store=True],1,sat,True,0.12,0.48,0.6,2011
dispatch,50,set,set+tuple,simplify>simplify,2,sat,True,0.04,5.5,5.54,31336
dispatch,50,set,set+tuple,simplify>propagate-values,2,sat,True,0.05,2.91,2.96,21111
dispatch,50,set,set+tuple,simplify>solve-eqs,2,sat,True,0.06,4.13,4.19,24180
dispatch,50,set,set+tuple,simplify>elim-term-ite,2,sat,True,0.03,2.49,2.52,17077
dispatch,50,set,set+tuple,simplify>propagate-ineqs,2,sat,True,0.04,5.15,5.19,30023
dispatch,50,set,set+tuple,simplify>ctx-simplify,2,sat,True,0.05,5.08,5.13,29530
dispatch,50,set,set+tuple,simplify>simplify[blast_select_store=True],2,sat,True,0.14,0.48,0.62,2118
dispatch,50,set,set+tuple,propagate-values>simplify,2,sat,True,0.04,4.09,4.13,25220
dispatch,50,set,set+tuple,propagate-values>propagate-values,2,sat,True,0.04,4.52,4.56,29966
dispatch,50,set,set+tuple,propagate-values>solve-eqs,2,sat,True,0.06,2.26,2.32,8635
dispatch,50,set,set+tuple,propagate-values>elim-term-ite,2,sat,True,0.04,4.09,4.13,20178
dispatch,50,set,set+tuple,propagate-values>propagate-ineqs,2,sat,True,0.05,4.57,4.62,24512
dispatch,50,set,set+tuple,propagate-values>ctx-simplify,2,sat,True,0.04,3.73,3.77,29657
dispatch,50,set,set+tuple,propagate-values>simplify[blast_select_store=True],2,sat,True,0.05,0.35,0.4,274
dispatch,50,set,set+tuple,solve-eqs>simplify,2,sat,True,0.05,5.03,5.08,30067
dispatch,50,set,set+tuple,solve-eqs>propagate-values,2,sat,True,0.05,5.43,5.48,29126
dispatch,50,set,set+tuple,solve-eqs>solve-eqs,2,sat,True,0.06,4.91,4.97,24726
dispatch,50,set,set+tuple,solve-eqs>elim-term-ite,2,sat,True,0.06,5.46,5.52,31748
dispatch,50,set,set+tuple,solve-eqs>propagate-ineqs,2,sat,True,0.06,3.99,4.05,23541
dispatch,50,set,set+tuple,solve-eqs>ctx-simplify,2,sat,True,0.05,4.41,4.46,24415
dispatch,50,set,set+tuple,solve-eqs>simplify[blast_select_store=True],2,sat,True,0.05,0.35,0.4,365
dispatch,50,set,set+tuple,elim-term-ite>simplify,2,sat,True,0.03,3.94,3.97,23830
dispatch,50,set,set+tuple,elim-term-ite>propagate-values,2,sat,True,0.04,4.6,4.64,29077
dispatch,50,set,set+tuple,elim-term-ite>solve-eqs,2,sat,True,0.05,4.27,4.32,27784
dispatch,50,set,set+tuple,elim-term-ite>elim-term-ite,2,sat,True,0.02,3.27,3.29,22318
dispatch,50,set,set+tuple,elim-term-ite>propagate-ineqs,2,sat,True,0.04,4.39,4.43,29096
dispatch,50,set,set+tuple,elim-term-ite>ctx-simplify,2,sat,True,0.04,4.21,4.25,24476
dispatch,50,set,set+tuple,elim-term-ite>simplify[blast_select_store=True],2,sat,True,0.13,0.48,0.61,2117
dispatch,50,set,set+tuple,propagate-ineqs>simplify,2,sat,True,0.04,4.54,4.58,24774
dispatch,50,set,set+tuple,propagate-ineqs>propagate-values,2,sat,True,0.06,4.83,4.89,27667
dispatch,50,set,set+tuple,propagate-ineqs>solve-eqs,2,sat,True,0.06,4.13,4.19,23080
dispatch,50,set,set+tuple,propagate-ineqs>elim-term-ite,2,sat,True,0.03,3.98,4.01,27569
dispatch,50,set,set+tuple,propagate-ineqs>propagate-ineqs,2,sat,True,0.04,4.95,4.99,30517
dispatch,50,set,set+tuple,propagate-ineqs>ctx-simplify,2,sat,True,0.04,4.09,4.13,23660
dispatch,50,set,set+tuple,propagate-ineqs>simplify[blast_select_store=True],2,sat,True,0.15,0.47,0.62,2126
dispatch,50,set,set+tuple,ctx-simplify>simplify,2,sat,True,0.03,4.3,4.33,23604
dispatch,50,set,set+tuple,ctx-simplify>propagate-values,2,sat,True,0.03,4.65,4.68,27568
dispatch,50,set,set+tuple,ctx-simplify>solve-eqs,2,sat,True,0.05,4.14,4.19,24306
dispatch,50,set,set+tuple,ctx-simplify>elim-term-ite,2,sat,True,0.04,3.5,3.54,19908
dispatch,50,set,set+tuple,ctx-simplify>propagate-ineqs,2,sat,True,0.04,4.13,4.17,24874
